ID,店名,クラス・団体,メニュー,価格,カテゴリ,ジャンル,説明文,画像ＵＲＬ,配置マップ,X座標,Y座標,更新日時
s03,もちもちタピオカ,体3A,タピオカ,未定,フード,ドリンク,もちもち食感が楽しいタピオカドリンク。散策のお供にどうぞ！,https://drive.google.com/file/d/101bH4O0Dgali5sqAM-atR3Rv5kZQ89Pv/view?usp=drive_link,敷地内全体,274,424,2026/08/05 15:47
s13,アサイーボウル,普3C,アサイーボウル,未定,フード,デザート,フルーツと一緒に楽しむ、彩り豊かなアサイーボウルです。,,敷地内全体,334,424,2026/08/05 15:47
s21,フリフリポテト,体2C,フリフリポテト,未定,フード,揚げ物,好きな味を選んでフリフリ！揚げたてポテトをお楽しみください。,,敷地内全体,394,424,2026/08/05 15:47
s05,鉄板焼きそば,体3B,焼きそば,未定,フード,ごはん,香ばしいソースの香りが食欲をそそる、文化祭定番の焼きそばです。,,敷地内全体,454,424,2026/08/05 15:47
s20,あつあつたこ焼き,体2B,たこ焼き,未定,フード,ごはん,外は香ばしく、中はとろっと。あつあつのたこ焼きをどうぞ！,,敷地内全体,274,478,2026/08/05 15:47
s14,焼きたてワッフル,特2A,ワッフル,未定,フード,デザート,甘い香りの焼きたてワッフルで、ほっとひと息つきませんか？,,敷地内全体,334,478,2026/08/05 15:47
s25,ほくほくじゃがバター,特1A,じゃがバター,未定,フード,ごはん,ほくほくのじゃがいもとバターの相性が抜群です。,,敷地内全体,394,478,2026/08/05 15:47
s23,ひんやりかき氷,普2B,かき氷,未定,フード,デザート,暑い文化祭にぴったり！ひんやりかき氷でクールダウン。,,敷地内全体,454,478,2026/08/05 15:47
s27,おにぎり処,体1A,おにぎり,未定,フード,ごはん,片手で食べやすいおにぎり。校内を巡る前の腹ごしらえにどうぞ。,,敷地内全体,274,532,2026/08/05 15:47
s06,ふわふわクレープ,体3B,クレープ,未定,フード,デザート,もちもちの生地で包んだ、文化祭限定のクレープです。,,敷地内全体,334,532,2026/08/05 15:47
s29,ソフトクリーム,体1B,ソフトクリーム,未定,フード,デザート,なめらかで冷たいソフトクリームをお楽しみください。,,敷地内全体,394,532,2026/08/05 15:47
s08,香ばし焼き鳥,普3A,焼き鳥,未定,フード,ごはん,香ばしく焼き上げた焼き鳥。食欲をそそる香りが目印です！,,敷地内全体,454,532,2026/08/05 15:47
s31,ひんやり冷凍フルーツ,普1A,冷凍フルーツ,未定,フード,デザート,ひんやり爽やかな冷凍フルーツ。気軽に楽しめるデザートです。,,敷地内全体,274,586,2026/08/05 15:47
s18,ふわふわパンケーキ,体2A,パンケーキ,未定,フード,デザート,ふんわり焼き上げたパンケーキで、甘い時間をお届けします。,,敷地内全体,334,586,2026/08/05 15:47
s19,ジューススタンド,体2A,ジュース,未定,フード,ドリンク,パンケーキと一緒に楽しめる、冷たいジュースをご用意します。,,敷地内全体,394,586,2026/08/05 15:47
s10,一本きゅうり,普3B,きゅうり,未定,フード,おやつ,さっぱり食べられる一本きゅうり。食べ歩きにもおすすめです。,,敷地内全体,454,586,2026/08/05 15:47
s11,つるっと冷うどん,普3B,冷うどん,未定,フード,ごはん,暑い日にうれしい、つるっと食べられる冷たいうどんです。,,敷地内全体,520,438,2026/08/05 15:47
s07,サーターアンダギー,体3C,サーターアンダギー,未定,フード,揚げ物,外はさっくり、中はふんわり。沖縄のおやつを味わってください！,,敷地内全体,520,500,2026/08/05 15:47
s35,教員企画,教員,,未定,展示など,,先生方による企画です。内容は決まり次第お知らせします。,,敷地内全体,520,562,2026/08/05 15:47
s41,フリーマーケット,図書部,,未定,展示など,,掘り出し物を探してみませんか？売り上げは震災支援のために寄付します。,,敷地内全体,475,225,2026/08/05 15:47
s40,休けい所,図書委員会,無料の水,未定,展示など,,無料の水があります。涼しい部屋でゆっくり休憩しましょう。,,校舎案内,18,27,2026/08/05 15:47
s15,りんご飴,特2A,りんご飴,未定,フード,デザート,つやつやの飴で包んだ、見た目にもかわいいりんご飴です。,,中央校舎1F,,,2026/08/05 15:47
s37,美術部作品展示,美術部,,未定,展示など,,美術部員が心を込めて制作した作品を展示します。個性豊かな表現をお楽しみください。,,校舎案内,35,27,2026/08/05 15:47
s34,生徒会オリジナルジュース,生徒会,オリジナルジュース,未定,フード,ドリンク,生徒会が考えた文化祭限定のオリジナルジュースをお楽しみください！,,中央校舎2F,,,2026/08/05 15:47
s01,ベビーカステラ,特3A,ベビーカステラ,未定,フード,デザート,ころんとかわいい、ふんわり甘いベビーカステラをどうぞ！,,中央校舎3F,,,2026/08/05 15:47
s02,チーズボール,特3A,チーズボール,未定,フード,揚げ物,外はカリッ、中からチーズがとろり。熱々をお楽しみください。,,中央校舎3F,,,2026/08/05 15:47
s09,ホットドッグ,普3A,ホットドッグ,未定,フード,ごはん,食べ応えのあるホットドッグ。小腹が空いたときにもぴったりです。,,中央校舎3F,,,2026/08/05 15:47
s16,揚げたてチュロス,特2B,チュロス,未定,フード,揚げ物,さくっと香ばしい揚げたてチュロス。甘い香りを目印にお越しください！,,中央校舎3F,,,2026/08/05 15:47
s17,フルーツジュース,特2B,フルーツジュース,未定,フード,ドリンク,フルーツのおいしさを楽しめる、爽やかなジュースです。,,中央校舎3F,,,2026/08/05 15:47
s33,ちいかわカフェ,普1B,カフェメニュー,未定,カフェ,,かわいい世界観に包まれたカフェで、楽しいひとときをお過ごしください。,,中央校舎3F,,,2026/08/05 15:47
s36,特進コース研究展示,特進コース,,未定,展示など,,特進コースで取り組んだ研究成果を展示します。日頃の学びをぜひご覧ください。,,中央校舎3F,,,2026/08/05 15:47
s12,メイドカフェ,普3C,カフェメニュー,未定,カフェ,,いつもの教室が特別なカフェに変身。心を込めてお迎えします！,,南校舎2F,,,2026/08/05 15:47
s22,ミッション制お化け屋敷,普2A,入場,未定,ゲーム,,複数の教室を巡り、恐怖のミッションに挑戦！無事に脱出できるでしょうか。,,南校舎2F,,,2026/08/05 15:47
s24,わくわく射的,普2B,射的,未定,ゲーム,,狙いを定めて景品をゲット！子どもから大人まで楽しめる射的です。,,南校舎2F,,,2026/08/05 15:47
s30,キッキングスナイパー＆ポップコーン,体1C,キッキングスナイパー & ポップコーン,未定,ゲーム,,キックの腕試しに挑戦！遊んだ後はポップコーンもお楽しみください。,,南校舎2F,,,2026/08/05 15:47
s32,ミッション制お化け屋敷,普1B,入場,未定,ゲーム,,不気味な理科室でミッションに挑戦。勇気を出して最後まで進もう！,,南校舎2F,,,2026/08/05 15:47
s04,チョコバナナ,体3A,チョコバナナ,未定,フード,デザート,バナナとチョコの王道コンビ。見た目も楽しい文化祭スイーツです。,,南校舎3F,,,2026/08/05 15:47
s26,ストラックアウト,特1A,ストライクアウト,未定,ゲーム,,的をめがけて全力投球！何枚抜けるか挑戦してみよう。,,南校舎3F,,,2026/08/05 15:47
s28,映えスポット,体1A,,未定,展示など,,文化祭の思い出を写真に残せるフォトスポットです。お気に入りの一枚をどうぞ！,,南校舎3F,,,2026/08/05 15:47
s39,eスポーツ体験会,eスポーツ部,体験,未定,ゲーム,,初めての方も大歓迎！仲間と一緒にeスポーツを体験してみませんか？,,南校舎3F,,,2026/08/05 15:47
