説明文ID,説明文
desc-s03,もちもち食感が楽しいタピオカドリンク。散策のお供にどうぞ！
desc-s13,フルーツと一緒に楽しむ、彩り豊かなアサイーボウルです。
desc-s21,好きな味を選んでフリフリ！揚げたてポテトをお楽しみください。
desc-s05,香ばしいソースの香りが食欲をそそる、文化祭定番の焼きそばです。
desc-s20,外は香ばしく、中はとろっと。あつあつのたこ焼きをどうぞ！
desc-s14,甘い香りの焼きたてワッフルで、ほっとひと息つきませんか？
desc-s25,ほくほくのじゃがいもとバターの相性が抜群です。
desc-s23,暑い文化祭にぴったり！ひんやりかき氷でクールダウン。
desc-s27,片手で食べやすいおにぎり。校内を巡る前の腹ごしらえにどうぞ。
desc-s06,もちもちの生地で包んだ、文化祭限定のクレープです。
desc-s29,なめらかで冷たいソフトクリームをお楽しみください。
desc-s08,香ばしく焼き上げた焼き鳥。食欲をそそる香りが目印です！
desc-s31,ひんやり爽やかな冷凍フルーツ。気軽に楽しめるデザートです。
desc-s18,ふんわり焼き上げたパンケーキで、甘い時間をお届けします。
desc-s19,パンケーキと一緒に楽しめる、冷たいジュースをご用意します。
desc-s10,さっぱり食べられる一本きゅうり。食べ歩きにもおすすめです。
desc-s11,暑い日にうれしい、つるっと食べられる冷たいうどんです。
desc-s07,外はさっくり、中はふんわり。沖縄のおやつを味わってください！
desc-s35,先生方による企画です。内容は決まり次第お知らせします。
desc-s38,美術部員が制作した作品を販売します。お気に入りの一点を探してみてください。
desc-s15,つやつやの飴で包んだ、見た目にもかわいいりんご飴です。
desc-s37,美術部員が心を込めて制作した作品を展示します。個性豊かな表現をお楽しみください。
desc-s34,生徒会が考えた文化祭限定のオリジナルジュースをお楽しみください！
desc-s01,ころんとかわいい、ふんわり甘いベビーカステラをどうぞ！
desc-s02,外はカリッ、中からチーズがとろり。熱々をお楽しみください。
desc-s09,食べ応えのあるホットドッグ。小腹が空いたときにもぴったりです。
desc-s16,さくっと香ばしい揚げたてチュロス。甘い香りを目印にお越しください！
desc-s17,フルーツのおいしさを楽しめる、爽やかなジュースです。
desc-s33,かわいい世界観に包まれたカフェで、楽しいひとときをお過ごしください。
desc-s36,特進コースで取り組んだ研究成果を展示します。日頃の学びをぜひご覧ください。
desc-s12,いつもの教室が特別なカフェに変身。心を込めてお迎えします！
desc-s22,複数の教室を巡り、恐怖のミッションに挑戦！無事に脱出できるでしょうか。
desc-s24,狙いを定めて景品をゲット！子どもから大人まで楽しめる射的です。
desc-s30,キックの腕試しに挑戦！遊んだ後はポップコーンもお楽しみください。
desc-s32,不気味な理科室でミッションに挑戦。勇気を出して最後まで進もう！
desc-s04,バナナとチョコの王道コンビ。見た目も楽しい文化祭スイーツです。
desc-s26,的をめがけて全力投球！何枚抜けるか挑戦してみよう。
desc-s28,文化祭の思い出を写真に残せるフォトスポットです。お気に入りの一枚をどうぞ！
desc-s39,初めての方も大歓迎！仲間と一緒にeスポーツを体験してみませんか？
desc-s41,掘り出し物を探してみませんか？売り上げは震災支援のために寄付します。
desc-s40,無料の水があります。涼しい部屋でゆっくり休憩しましょう。
